,Unnamed: 0,X,Y,B,G,R,Gx,Gy
25874,183782,62,14,255,170,0,0.0,0.0
33381,3271,67,6,243,156,0,0.0927510698353074,-0.01842431943322176
33445,3335,35,42,68,61,187,0.01842431943322176,0.0927510698353074
28814,565884,33,3,133,89,56,0.0,0.0
29627,7301,73,97,11,207,0,0.0,0.0
17660,122131,36,67,69,101,123,0.0,0.0
14704,391036,61,56,119,118,49,0.0,0.0
16472,384613,96,5,253,207,0,0.0,0.0
9801,229708,26,52,79,80,185,0.0,0.0
6631,31301,16,85,47,92,141,0.0,0.0
34814,4704,61,39,167,99,0,0.10335206051617353,-0.06157568056677825
6760,97655,89,35,249,163,0,0.0,0.0
21047,505346,18,74,63,89,171,0.0,0.0
24550,535002,19,14,98,75,152,0.0,0.0
35961,5851,40,16,105,84,92,-0.03088667636830605,-0.03088667636830605
6072,237283,3,55,59,55,175,0.0,0.0
23390,108006,94,14,250,202,0,0.0,0.0
26556,45013,56,53,119,114,72,0.0,0.0
36719,6609,74,22,188,125,0,-0.0927510698353074,-0.01842431943322176
34509,4399,76,2,250,179,0,0.06712694158311132,0.016733781794646463
10448,168086,2,62,55,70,146,0.0,0.0
34385,4275,65,36,121,93,59,0.0,0.014613556019536122
26706,26082,64,54,121,122,15,0.0,0.0
11242,505270,17,98,32,99,81,0.0,0.0
21866,215349,81,65,121,134,0,0.0,0.0
19876,8291,84,19,254,190,0,0.0,0.0
18264,524378,11,62,63,75,198,0.0,0.0
26568,62015,27,83,52,103,107,0.0,0.0
37201,7091,69,29,119,95,50,0.0,0.014613556019536122
18650,55042,57,52,136,88,86,0.0,0.0
30901,791,68,47,104,87,83,0.05077710678338576,0.05077710678338576
28576,163064,51,12,202,120,4,0.0,0.0
7303,335023,93,75,87,159,0,0.0,0.0
1829,467467,34,83,55,113,82,0.0,0.0
15010,48288,89,28,253,182,0,0.0,0.0
37516,7406,31,22,119,86,53,0.016733781794646463,-0.06712694158311132
21436,78800,98,24,255,195,0,0.0,0.0
25323,164190,63,34,205,126,0,0.0,0.0
2055,490255,66,55,131,126,0,0.0,0.0
13086,315608,97,4,253,205,0,0.0,0.0
22512,206284,89,72,95,158,0,0.0,0.0
10888,126933,85,97,2,211,0,0.0,0.0
1616,327589,18,13,100,74,152,0.0,0.0
26808,522913,96,97,4,210,0,0.0,0.0
15607,422764,82,68,107,150,0,0.0,0.0
655,233368,63,12,248,149,0,0.0,0.0
25415,414410,97,86,49,192,0,0.0,0.0
9288,366522,12,58,65,74,217,0.0,0.0
15695,46361,70,1,255,171,0,0.0,0.0
18813,473751,98,95,21,208,0,0.0,0.0
37240,7130,72,30,139,103,0,-0.015067403328270003,-0.03014605954138166
30604,494,93,58,111,119,0,0.016733781794646463,-0.06712694158311132
18709,577983,55,35,172,115,53,0.0,0.0
15468,473240,93,84,56,187,0,0.0,0.0
4,262681,61,37,195,123,0,0.0,0.0
15270,96716,79,96,24,199,0,0.0,0.0
509,290505,42,17,162,106,68,0.0,0.0
19139,104058,54,66,101,99,1,0.0,0.0
18943,245613,88,13,252,196,0,0.0,0.0
18338,452842,87,30,255,178,0,0.0,0.0
27362,97264,85,44,217,139,0,0.0,0.0
19294,537625,46,65,79,113,86,0.0,0.0
4227,169341,15,17,93,73,175,0.0,0.0
17284,306717,6,85,43,84,146,0.0,0.0
35925,5815,37,18,66,73,131,-0.06712694158311132,0.016733781794646463
37565,7455,22,80,44,95,94,-0.10335206051617353,0.06157568056677825
35826,5716,34,36,120,79,62,0.09632405027258556,-0.03826297667586875
9381,410932,63,8,247,151,0,0.0,0.0
4400,357217,18,25,98,78,184,0.0,0.0
2247,446386,21,46,85,82,202,0.0,0.0
17925,370264,50,45,117,107,101,0.0,0.0
36111,6001,78,42,117,111,0,-0.03451121964800863,-0.06920142621660752
5910,225010,79,54,168,132,0,0.0,0.0
10829,359994,46,2,174,104,1,0.0,0.0
28945,278583,21,67,66,90,179,0.0,0.0
32945,2835,36,24,57,63,157,-0.05474926718086332,0.07313727383716523
22563,418267,36,43,80,77,161,0.0,0.0
4859,56178,69,46,179,123,0,0.0,0.0
5388,467729,37,45,91,89,137,0.0,0.0
32632,2522,29,36,98,85,64,-0.015067403328270003,-0.03014605954138166
198,426596,21,0,98,72,108,0.0,0.0
9235,225423,83,67,116,140,0,0.0,0.0
6604,558407,57,3,224,132,0,0.0,0.0
29581,251,2,51,63,67,167,0.0,0.0
7964,51627,22,67,67,88,171,0.0,0.0
26807,301689,56,57,93,117,0,0.0,0.0
18294,303508,74,76,78,159,0,0.0,0.0
10722,269331,27,87,48,110,86,0.0,0.0
2645,134817,65,64,116,113,33,0.0,0.0
943,536852,37,96,38,127,0,0.0,0.0
32076,1966,20,83,66,61,135,0.0927510698353074,0.01842431943322176
16178,271226,46,82,48,137,12,0.0,0.0
7628,138326,1,18,79,61,157,0.0,0.0
1157,227972,9,16,86,63,190,0.0,0.0
35451,5341,51,40,61,89,87,-0.06920142621660752,-0.03451121964800863
18860,108540,99,48,218,152,0,0.0,0.0
10468,98522,98,2,253,206,0,0.0,0.0
35100,4990,39,50,97,90,0,-0.0214106195359553,-0.1308992675592447
14998,554857,20,25,102,72,184,0.0,0.0
37476,7366,28,17,129,85,77,0.1308992675592447,-0.0214106195359553
5078,381165,61,57,118,119,49,0.0,0.0
273,85104,61,86,40,159,0,0.0,0.0
32041,1931,16,91,40,77,115,-0.06157568056677825,0.10335206051617353
7915,439620,53,80,55,139,0,0.0,0.0
5160,224585,75,29,244,156,0,0.0,0.0
8151,264258,77,14,254,184,0,0.0,0.0
10863,195556,81,16,255,191,0,0.0,0.0
1332,90743,18,95,38,91,89,0.0,0.0
27143,52298,29,38,102,87,163,0.0,0.0
15382,538099,51,39,169,111,0,0.0,0.0
11256,5921,59,21,216,128,0,0.0,0.0
7250,150800,28,48,84,86,169,0.0,0.0
23665,287260,9,72,58,80,185,0.0,0.0
16303,590738,84,18,254,192,0,0.0,0.0
21779,498970,54,40,176,114,42,0.0,0.0
10182,119407,9,43,77,68,216,0.0,0.0
30844,734,58,67,55,109,29,-0.09632405027258556,-0.03826297667586875
25449,540867,79,7,254,191,0,0.0,0.0
12860,255424,87,52,195,145,0,0.0,0.0
11444,92425,35,77,63,101,106,0.0,0.0
15767,103252,46,2,176,103,3,0.0,0.0
24384,261184,46,35,171,103,3,0.0,0.0
14004,582416,99,68,118,151,0,0.0,0.0
501,113273,47,26,166,110,76,0.0,0.0
17588,590740,84,20,255,190,0,0.0,0.0
35236,5126,20,52,75,63,203,0.03826297667586875,0.09632405027258556
30793,683,54,67,46,101,97,-0.09632405027258556,0.03826297667586875
15433,312593,65,61,110,126,0,0.0,0.0
26777,561892,91,88,30,198,0,0.0,0.0
33041,2931,44,25,102,78,26,-0.08000000000000003,-0.08000000000000003
608,563731,10,27,75,65,197,0.0,0.0
34487,4377,74,5,219,141,0,0.015699044804238282,0.04715256350368319
2323,442690,84,50,195,144,0,0.0,0.0
20110,350479,49,59,92,113,90,0.0,0.0
28244,270291,37,47,90,93,136,0.0,0.0
26598,374412,92,76,82,166,0,0.0,0.0
24767,104903,63,11,247,153,0,0.0,0.0
3840,188049,4,81,49,83,147,0.0,0.0
26799,53742,43,82,48,124,49,0.0,0.0
14660,45804,64,44,161,117,11,0.0,0.0
26699,291848,55,60,99,117,71,0.0,0.0
22975,454180,0,68,52,72,123,0.0,0.0
30479,369,64,40,104,96,0,-0.03451121964800863,-0.06920142621660752
26552,479522,56,78,57,137,0,0.0,0.0
34899,4789,51,31,67,80,116,-0.03014605954138166,0.015067403328270003
3585,297367,12,7,85,65,159,0.0,0.0
17751,496430,28,30,114,94,148,0.0,0.0
7752,375606,4,70,52,75,165,0.0,0.0
34159,4049,81,23,136,99,0,-0.0927510698353074,-0.01842431943322176
14476,298614,24,54,77,83,184,0.0,0.0
21028,152830,48,78,58,133,21,0.0,0.0
22701,485938,22,10,103,80,124,0.0,0.0
16641,588465,61,45,155,117,0,0.0,0.0
35480,5370,54,39,95,91,5,-0.06157568056677825,-0.10335206051617353
2830,586351,39,3,144,90,29,0.0,0.0
12730,295916,97,56,184,148,0,0.0,0.0
12483,104075,54,83,33,171,0,0.0,0.0
20228,124912,64,48,156,117,2,0.0,0.0
277,440525,62,85,44,165,0,0.0,0.0
35515,5405,46,45,63,88,125,-0.05077710678338576,0.05077710678338576
27905,271674,51,75,63,136,20,0.0,0.0
4058,336801,11,53,71,72,217,0.0,0.0
8586,427942,35,4,133,88,61,0.0,0.0
9038,562232,95,28,253,188,0,0.0,0.0
6149,9307,94,35,253,170,0,0.0,0.0
12395,47570,82,10,253,193,0,0.0,0.0
29446,361300,59,91,36,173,0,0.0,0.0
2649,152174,42,22,155,105,78,0.0,0.0
7134,71733,26,29,108,88,163,0.0,0.0
28170,165426,76,2,254,185,0,0.0,0.0
26112,22908,31,64,69,92,145,0.0,0.0
5371,311882,58,50,138,116,48,0.0,0.0
19016,143233,51,53,108,108,94,0.0,0.0
31568,1458,47,84,72,79,109,0.014723162687942437,0.014723162687942437
25754,575905,34,57,84,94,140,0.0,0.0
6095,588028,57,8,228,137,0,0.0,0.0
21502,472470,86,14,253,195,0,0.0,0.0
27219,225107,80,51,186,135,0,0.0,0.0
13694,208030,7,18,75,55,192,0.0,0.0
2133,465667,16,83,50,93,147,0.0,0.0
30596,486,92,60,80,122,0,-0.015699044804238282,-0.04715256350368319
22255,279960,35,44,105,94,138,0.0,0.0
32552,2442,22,37,67,69,199,-0.03826297667586875,0.09632405027258556
13842,402824,80,72,89,153,0,0.0,0.0
36735,6625,76,13,255,193,0,0.07313727383716523,-0.05474926718086332
4815,193911,64,71,80,136,0,0.0,0.0
12216,365948,6,84,46,85,144,0.0,0.0
2730,314560,86,56,172,140,0,0.0,0.0
24587,343298,77,20,242,162,0,0.0,0.0
36328,6218,62,21,157,99,22,0.03014605954138166,-0.015067403328270003
31189,1079,61,64,51,108,74,-0.06712694158311132,0.016733781794646463
15211,278858,24,42,93,87,185,0.0,0.0
16842,186372,88,4,251,200,0,0.0,0.0
33976,3866,43,47,74,71,171,0.0,0.0467521999912377
22239,388132,32,52,89,92,118,0.0,0.0
27705,244956,81,56,162,126,0,0.0,0.0
16852,46992,76,32,242,152,0,0.0,0.0
4156,550415,75,78,73,170,0,0.0,0.0
25250,500582,71,10,255,175,0,0.0,0.0
30945,835,71,54,37,108,43,-0.06647615158762404,0.0
36501,6391,38,60,86,104,0,0.0,-0.09164721253127672
19452,462656,86,72,93,156,0,0.0,0.0
31935,1825,37,73,74,54,147,0.09632405027258556,0.03826297667586875
25475,76148,70,44,189,128,0,0.0,0.0
37608,7498,26,73,77,91,92,0.03014605954138166,-0.015067403328270003
3792,382643,76,35,233,145,0,0.0,0.0
17571,66530,73,94,22,201,0,0.0,0.0
23750,390059,51,79,60,132,24,0.0,0.0
30629,519,38,76,56,45,159,0.01842431943322176,0.0927510698353074
28041,422750,82,54,169,138,0,0.0,0.0
24915,507212,37,40,113,92,127,0.0,0.0
25503,353798,84,6,253,197,0,0.0,0.0
36972,6862,52,18,118,92,65,-0.03014605954138166,-0.015067403328270003
12014,406758,20,6,100,75,118,0.0,0.0
22247,373192,80,56,157,136,0,0.0,0.0
16900,519140,59,24,216,130,0,0.0,0.0
11494,537766,48,6,186,111,0,0.0,0.0
8028,408990,42,38,58,66,158,-0.0,0.0
36304,6194,60,22,122,92,72,0.014723162687942437,0.014723162687942437
17041,11142,12,70,61,79,202,0.0,0.0
4556,455045,9,33,83,67,211,0.0,0.0
1133,10984,11,12,90,64,177,0.0,0.0
24903,502920,94,48,212,150,0,0.0,0.0
37096,6986,41,40,118,86,50,0.03014605954138166,-0.015067403328270003
28973,117334,88,70,99,159,0,0.0,0.0
28749,427739,32,75,49,108,104,0.0,0.0
465,587643,53,23,212,123,0,0.0,0.0
33960,3850,41,49,56,60,179,-0.03826297667586875,0.09632405027258556
5697,406492,17,40,87,80,214,0.0,0.0
33291,3181,62,30,161,99,1,0.03451121964800863,-0.06920142621660752
28796,445161,9,21,90,71,187,0.0,0.0
21009,197348,99,8,252,206,0,0.0,0.0
23872,204909,75,97,8,209,0,0.0,0.0
36843,6733,45,44,92,91,95,-0.014723162687942437,-0.014723162687942437
27209,417534,29,10,121,87,104,0.0,0.0
8617,377365,22,29,105,80,185,0.0,0.0
3018,599377,71,85,47,180,0,0.0,0.0
2308,59690,4,58,58,66,189,0.0,0.0
34034,3924,48,42,131,85,79,0.09632405027258556,-0.03826297667586875
32646,2536,30,38,86,81,33,-0.05077710678338576,-0.05077710678338576
37577,7467,23,80,43,96,89,-0.09632405027258556,0.03826297667586875
1396,189413,18,45,53,67,229,0.0,0.0
31797,1687,60,73,88,71,93,0.05077710678338576,0.05077710678338576
10904,409035,42,83,54,127,40,0.0,0.0
1668,32203,25,87,49,104,101,0.0,0.0
6187,63248,40,16,151,102,78,0.0,0.0
3615,204622,73,10,255,178,0,0.0,0.0
25447,104594,60,2,233,138,0,0.0,0.0
35342,5232,29,55,79,85,26,-0.016733781794646463,-0.06712694158311132
29164,361364,60,68,81,133,0,0.0,0.0
853,189367,17,99,32,101,75,0.0,0.0
5598,67119,80,15,254,189,0,0.0,0.0
23263,388785,39,5,144,94,48,0.0,0.0
3263,495911,23,11,106,81,123,0.0,0.0
18629,296251,0,91,42,81,122,0.0,0.0
18191,447347,31,7,101,65,98,0.0,0.0
26721,529072,59,84,50,155,0,0.0,0.0
441,172678,49,12,199,115,0,0.0,0.0
8021,516766,34,22,132,95,103,0.0,0.0
37447,7337,25,26,63,70,159,-0.048418578457614166,0.032252644421814865
7560,336839,11,91,39,93,125,0.0,0.0
2290,227367,3,11,80,56,169,0.0,0.0
8304,129251,9,15,89,66,187,0.0,0.0
1416,73226,41,22,151,103,87,0.0,0.0
13401,82545,35,69,65,99,117,0.0,0.0
6112,104560,59,68,102,131,0,0.0,0.0
34083,3973,75,15,192,118,7,0.06157568056677825,0.10335206051617353
8895,376743,16,7,91,69,145,0.0,0.0
19305,547010,40,50,100,97,124,0.0,0.0
15125,214538,73,54,153,126,0,0.0,0.0
15843,570587,80,11,254,189,0,0.0,0.0
13477,277675,12,59,66,76,215,0.0,0.0
22289,476920,30,64,70,94,145,0.0,0.0
6056,299108,29,48,83,84,169,0.0,0.0
6036,573217,6,41,74,71,178,0.0,0.0
884,450003,58,91,39,167,0,0.0,0.0
22624,259531,28,59,67,89,161,0.0,0.0
25970,362923,76,59,138,136,0,0.0,0.0
879,52733,33,73,59,100,111,0.0,0.0
14019,109374,7,82,50,85,157,0.0,0.0
21362,353057,76,60,132,140,0,0.0,0.0
22163,52694,33,34,119,91,135,0.0,0.0
18048,421524,70,28,241,151,0,0.0,0.0
5394,548893,59,33,130,102,84,0.0,0.0
29060,483410,96,82,65,182,0,0.0,0.0
25512,10887,10,15,88,65,188,0.0,0.0
24802,431883,75,15,255,181,0,0.0,0.0
29453,290625,43,37,126,100,119,0.0,0.0
14108,96289,75,69,100,135,0,0.0,0.0
4040,249885,30,85,55,110,84,0.0,0.0
10484,91010,21,62,74,75,193,0.0,0.0
4029,319754,38,50,95,95,142,0.0,0.0
34405,4295,67,31,188,107,0,0.0927510698353074,-0.01842431943322176
31269,1159,47,79,61,52,126,0.01842431943322176,0.0927510698353074
37750,7640,47,36,109,88,83,0.015067403328270003,-0.03014605954138166
31165,1055,59,65,37,105,94,-0.10335206051617353,0.06157568056677825
268,28846,92,30,254,181,0,0.0,0.0
14872,214684,75,0,254,183,0,0.0,0.0
5157,578875,64,27,223,136,0,0.0,0.0
34709,4599,76,34,157,116,0,0.0,-0.09164721253127672
24223,168813,9,89,44,89,131,0.0,0.0
17213,546522,35,62,70,97,129,0.0,0.0
8256,68700,95,96,14,209,0,0.0,0.0
27387,360513,51,21,189,116,34,0.0,0.0
6926,595884,36,92,39,145,0,0.0,-0.0
13048,408182,34,30,118,92,135,0.0,0.0
17539,61373,21,41,88,79,207,0.0,0.0
1107,556357,36,48,86,97,120,0.0,0.0
34658,4548,71,39,54,96,44,-0.09164721253127672,0.0
9766,558105,54,1,209,122,0,0.0,0.0
7201,162135,41,83,46,124,39,0.0,0.0
12957,108469,98,77,85,171,0,0.0,0.0
8898,439465,52,25,185,116,38,0.0,0.0
36218,6108,54,39,74,91,76,-0.048418578457614166,-0.032252644421814865
30896,786,67,52,52,94,93,-0.03451121964800863,0.06920142621660752
33266,3156,60,27,175,99,3,0.09632405027258556,-0.03826297667586875
35771,5661,29,44,65,80,167,-0.05077710678338576,0.05077710678338576
25408,263825,72,81,60,169,0,0.0,0.0
10389,140427,22,19,107,80,157,0.0,0.0
34608,4498,67,36,64,83,96,-0.03451121964800863,0.06920142621660752
2602,386646,17,21,96,74,181,0.0,0.0
16403,340040,43,92,39,136,0,0.0,0.0
12571,140080,18,72,65,88,177,0.0,0.0
25334,46164,68,4,255,167,0,0.0,0.0
1048,529422,63,34,202,125,0,0.0,0.0
22932,475420,15,64,71,84,201,0.0,0.0
32750,2640,32,27,93,85,77,-0.06712694158311132,-0.016733781794646463
31924,1814,36,74,71,52,148,0.07313727383716523,0.05474926718086332
3847,166787,89,63,134,142,0,0.0,0.0
20575,346918,13,98,31,98,88,0.0,0.0
12772,522899,96,83,57,187,0,0.0,0.0
5936,18986,92,42,226,150,0,0.0,0.0
9056,400301,55,49,123,108,85,0.0,0.0
37260,7150,74,28,194,129,0,0.016733781794646463,-0.06712694158311132
11933,109191,5,99,37,87,107,0.0,0.0
686,84138,51,62,79,107,118,0.0,0.0
13916,264472,79,28,251,166,0,0.0,0.0
25465,504799,13,27,92,73,201,0.0,0.0
30052,20922,11,78,51,80,174,0.0,0.0
31496,1386,48,77,41,112,11,-0.10335206051617353,-0.06157568056677825
22430,285306,90,18,253,197,0,0.0,0.0
17983,193600,61,60,106,124,36,0.0,0.0
24786,3901,39,1,142,90,38,0.0,0.0
18605,307014,9,82,47,84,157,0.0,0.0
20555,148923,8,43,75,69,196,0.0,0.0
23876,286573,2,85,45,83,134,0.0,0.0
11342,377611,24,75,61,95,140,0.0,0.0
6821,185243,76,75,79,165,0,0.0,0.0
842,334329,86,81,60,175,0,0.0,0.0
22651,392577,76,97,9,207,0,0.0,0.0
33313,3203,60,12,78,67,95,-0.0214106195359553,0.1308992675592447
1430,158873,9,21,86,66,197,0.0,0.0
34844,4734,64,45,138,110,0,-0.0214106195359553,-0.1308992675592447
8648,387244,23,64,67,91,159,0.0,0.0
374,62136,29,4,117,81,85,0.0,0.0
7119,333752,81,4,254,192,0,0.0,0.0
13555,59450,2,18,77,60,177,0.0,0.0
27273,245243,84,43,223,141,0,0.0,0.0
33432,3322,71,14,215,143,0,-0.06157568056677825,-0.10335206051617353
7656,175875,81,79,67,177,0,0.0,0.0
15135,380735,57,27,197,119,16,0.0,0.0
15801,53661,43,1,161,96,15,0.0,0.0
1736,130296,19,60,74,80,210,0.0,0.0
25994,364247,89,83,49,185,0,0.0,0.0
25024,386575,16,37,96,69,204,0.0,0.0
5183,521579,83,63,128,144,0,0.0,0.0
17317,163636,57,5,225,133,0,0.0,0.0
6596,185687,81,19,254,188,0,0.0,0.0
34495,4385,75,1,252,177,0,0.09632405027258556,0.03826297667586875
21065,297524,13,64,66,78,209,0.0,0.0
20193,327254,14,78,54,83,172,0.0,0.0
3803,247270,4,70,56,75,161,0.0,0.0
18067,67037,79,33,252,160,0,0.0,0.0
11968,433161,87,93,13,209,0,0.0,0.0
24621,365390,1,26,79,66,159,0.0,0.0
21072,492335,87,35,247,166,0,0.0,0.0
18887,85351,64,71,15,143,0,0.0,0.0
29271,522587,93,71,101,162,0,0.0,0.0
5288,411001,63,77,69,148,0,0.0,0.0
27347,291451,51,63,88,117,81,0.0,0.0
20071,2265,22,65,69,85,179,0.0,0.0
6340,115843,73,79,64,171,0,0.0,0.0
6636,160749,27,97,35,114,44,0.0,0.0
26628,533306,2,18,81,66,151,0.0,0.0
34604,4494,67,32,103,81,80,0.03451121964800863,0.06920142621660752
9750,453766,96,54,193,144,0,0.0,0.0
32223,2113,60,61,82,97,66,-0.029910794252010205,0.0
14807,549884,69,82,58,170,0,0.0,0.0
29547,364149,88,85,39,190,0,0.0,0.0
28033,231967,49,11,199,114,0,0.0,0.0
27552,292133,58,45,153,119,47,0.0,0.0
3643,133395,50,59,97,105,84,0.0,0.0
29237,377646,25,10,109,79,119,0.0,0.0
19232,338637,29,89,48,113,77,0.0,0.0
70,102819,41,11,160,105,61,0.0,0.0
14190,207209,98,97,4,206,0,0.0,0.0
17843,590364,80,44,207,138,0,0.0,0.0
34568,4458,80,11,215,145,0,-0.10335206051617353,-0.06157568056677825
30779,669,53,65,58,86,129,-0.05077710678338576,0.05077710678338576
17054,389848,49,68,78,117,78,0.0,0.0
24617,275745,93,29,255,186,0,0.0,0.0
32361,2251,50,32,94,88,104,0.014723162687942437,-0.014723162687942437
5071,585844,33,96,38,121,12,0.0,0.0
27859,138311,1,3,70,55,130,0.0,0.0
28954,169308,14,84,48,92,147,0.0,0.0
36137,6027,47,39,50,72,150,-0.06157568056677825,0.10335206051617353
25577,438412,41,72,66,114,88,0.0,0.0
29128,542814,98,54,191,144,0,0.0,0.0
22655,319331,34,27,127,96,121,0.0,0.0
24653,479341,54,85,44,147,0,0.0,0.0
8293,301855,58,23,212,127,0,0.0,0.0
11773,220029,28,45,92,82,170,0.0,0.0
252,311927,58,95,37,176,0,0.0,0.0
3063,314675,87,71,100,157,0,0.0,0.0
9128,536794,37,27,141,95,102,0.0,0.0
34444,4334,70,35,167,109,0,0.016733781794646463,-0.06712694158311132
19792,209373,20,61,76,81,199,0.0,0.0
8970,583228,7,80,48,82,153,0.0,0.0
37199,7089,69,27,148,101,33,0.03014605954138166,0.015067403328270003
16700,601440,92,48,211,146,0,0.0,0.0
4449,265441,88,97,4,211,0,0.0,0.0
3378,236693,97,65,143,143,0,0.0,0.0
26964,93112,42,64,81,93,112,0.0,0.0
31003,893,77,50,112,110,0,0.0,-0.1287068006749893
6245,457714,36,2,141,91,46,0.0,0.0
1179,562394,96,90,30,203,0,0.0,0.0
22406,172653,48,87,40,140,0,0.0,0.0
14052,417165,25,41,92,85,177,0.0,0.0
4178,71060,19,56,76,82,214,0.0,0.0
20831,315589,96,85,57,189,0,0.0,0.0
28672,189932,23,85,50,101,111,0.0,0.0
17531,61399,21,67,63,85,180,0.0,0.0
21139,44821,54,61,100,119,69,0.0,0.0
2825,75749,66,45,172,120,0,0.0,0.0
18999,236332,94,4,253,205,0,0.0,0.0
25866,380591,55,83,52,140,0,0.0,0.0
21041,190191,26,81,55,103,110,0.0,0.0
31437,1327,44,68,84,63,131,0.06712694158311132,0.016733781794646463
9559,423960,94,64,136,148,0,0.0,0.0
21075,471726,78,70,97,149,0,0.0,0.0
18478,2861,28,61,73,88,163,0.0,0.0
4579,333349,77,1,254,186,0,0.0,0.0
17411,313844,78,57,155,134,0,0.0,0.0
12885,14278,44,6,170,101,34,0.0,0.0
35699,5589,37,55,97,77,63,0.06920142621660752,-0.03451121964800863
9448,316646,7,42,76,68,211,0.0,0.0
1796,150612,26,48,85,87,182,0.0,0.0
31387,1277,58,80,79,92,4,0.0,-0.1287068006749893
11469,402325,75,73,86,152,0,0.0,0.0
32608,2498,27,38,80,83,123,-0.0467521999912377,0.0
30362,252,76,65,123,106,0,0.0214106195359553,-0.1308992675592447
31842,1732,63,81,44,122,10,-0.09164721253127672,0.0
27824,75582,64,78,61,150,0,0.0,0.0
30287,177,69,64,104,87,75,0.03014605954138166,0.015067403328270003
16359,460225,61,13,241,149,0,0.0,0.0
22085,276530,1,14,78,62,167,0.0,0.0
37264,7154,74,32,136,107,0,-0.05474926718086332,-0.07313727383716523
1319,280082,36,66,71,105,122,0.0,0.0
30533,423,87,60,62,112,6,-0.015067403328270003,0.03014605954138166
37691,7581,42,40,60,74,155,-0.05077710678338576,0.05077710678338576
21557,142901,48,21,176,113,60,0.0,0.0
11578,491521,79,21,255,184,0,0.0,0.0
896,40743,12,55,69,68,224,0.0,0.0
20077,600140,79,48,185,132,0,0.0,0.0
30369,259,54,39,57,62,134,-0.0214106195359553,0.1308992675592447
27651,553978,11,46,68,67,214,0.0,0.0
24265,37879,82,63,42,119,16,0.0,0.0
31296,1186,50,76,82,57,110,0.06920142621660752,0.03451121964800863
26862,476932,30,76,61,103,113,0.0,0.0
8409,67304,82,0,253,192,0,0.0,0.0
36297,6187,59,28,55,79,98,-0.09632405027258556,0.03826297667586875
7599,116484,80,20,254,185,0,0.0,0.0
20990,567663,50,87,45,141,0,0.0,0.0
4009,234085,70,29,116,93,39,0.0,0.0
21846,223088,60,32,204,122,1,0.0,0.0
37128,7018,43,47,84,91,2,-0.10335206051617353,-0.06157568056677825
25830,110066,14,74,57,85,183,0.0,0.0
19649,564973,22,81,60,102,129,0.0,0.0
584,74240,51,36,159,109,72,0.0,0.0
18633,184509,69,41,199,129,0,0.0,0.0
21857,278481,20,65,68,89,188,0.0,0.0
15547,521654,84,38,234,155,0,0.0,0.0
35177,5067,16,48,82,73,169,0.014723162687942437,-0.014723162687942437
37007,6897,55,18,154,102,4,-0.03451121964800863,-0.06920142621660752
2814,396145,12,65,56,77,200,0.0,0.0
17239,513127,97,83,63,183,0,0.0,0.0
4672,159741,17,89,41,95,118,0.0,0.0
34772,4662,57,47,75,93,100,-0.04715256350368319,0.015699044804238282
5742,143684,56,4,223,129,0,0.0,0.0
32938,2828,36,17,105,73,130,0.08000000000000003,0.08000000000000003
30748,638,49,78,68,108,3,-0.0214106195359553,-0.1308992675592447
21150,524009,7,93,41,89,116,0.0,0.0
10880,225405,83,49,203,139,0,0.0,0.0
16856,378455,33,89,52,114,66,0.0,0.0
1673,502531,90,59,162,150,0,0.0,0.0
29857,63949,47,17,182,115,44,0.0,0.0
6262,101978,32,58,80,86,153,0.0,0.0
37484,7374,28,25,88,82,118,-0.03014605954138166,-0.015067403328270003
1992,481085,73,57,142,131,0,0.0,0.0
16419,178022,3,26,80,68,174,0.0,0.0
30253,143,66,65,86,78,94,0.016733781794646463,0.06712694158311132
4265,178438,7,42,72,69,203,0.0,0.0
26889,511924,85,80,67,176,0,0.0,0.0
26637,136778,85,70,101,150,0,0.0,0.0
18947,438371,41,31,162,108,54,0.0,0.0
36825,6715,44,38,126,86,98,0.09164721253127672,0.0
29097,74424,53,20,198,118,3,0.0,0.0
16729,513510,1,66,51,73,135,0.0,0.0
21986,400463,57,11,227,137,0,0.0,0.0
29335,566887,43,11,183,110,0,0.0,0.0
22067,110392,18,0,91,67,111,0.0,0.0
30631,521,38,78,52,53,161,-0.01842431943322176,0.0927510698353074
24545,186415,88,47,213,148,0,0.0,0.0
9681,459424,53,12,212,124,0,0.0,0.0
19804,326919,11,43,81,66,226,0.0,0.0
11020,86684,78,36,233,146,0,0.0,0.0
21810,585422,29,74,63,99,115,0.0,0.0
29614,559172,64,68,91,134,0,0.0,0.0
21523,81368,23,92,41,102,84,0.0,0.0
14668,263198,66,54,140,125,0,0.0,0.0
29811,395417,5,37,76,65,166,0.0,0.0
17115,413321,86,97,1,211,0,0.0,0.0
36023,5913,71,39,103,94,73,0.015699044804238282,0.04715256350368319
33880,3770,85,2,254,192,0,0.1287068006749893,0.0
34096,3986,76,20,129,95,45,-0.03451121964800863,0.06920142621660752
17104,108648,0,56,57,68,133,0.0,0.0
20329,106351,77,59,135,136,0,0.0,0.0
35510,5400,46,40,96,84,123,0.032252644421814865,0.048418578457614166
25511,214673,74,89,37,188,0,0.0,0.0
34120,4010,78,22,123,93,28,-0.06920142621660752,0.03451121964800863
36632,6522,58,56,100,120,0,-0.06157568056677825,-0.10335206051617353
14107,255152,84,80,64,177,0,0.0,0.0
28361,500085,66,13,251,161,0,0.0,0.0
