,Unnamed: 0,X,Y,B,G,R,Gx,Gy
30627,517,38,74,62,48,156,0.06157568056677825,0.10335206051617353
23294,177891,1,95,41,86,111,0.0,0.0
7894,513273,99,29,253,186,0,0.0,0.0
7648,241638,47,10,190,109,18,0.0,0.0
11273,236452,95,24,252,194,0,0.0,0.0
35396,5286,47,36,72,77,142,0.0,0.029910794252010205
33369,3259,66,6,233,146,0,0.09164721253127672,0.0
1983,359974,45,82,52,130,23,0.0,0.0
31586,1476,48,90,44,119,43,-0.09164721253127672,0.0
6167,85167,62,49,165,102,48,0.0,0.0
23425,77046,79,74,82,159,0,0.0,0.0
37418,7308,23,19,84,62,143,0.08000000000000003,0.08000000000000003
10348,510016,65,44,172,120,7,0.0,0.0
32559,2449,23,36,74,71,185,-0.016733781794646463,0.06712694158311132
30721,611,46,75,85,87,76,0.032252644421814865,-0.048418578457614166
8849,548438,54,78,57,140,0,0.0,0.0
751,401305,65,53,133,119,20,0.0,0.0
10273,278699,22,83,55,103,119,0.0,0.0
32282,2172,66,58,123,104,0,0.0214106195359553,-0.1308992675592447
36315,6205,61,20,157,100,42,0.0467521999912377,0.0
32701,2591,28,28,60,75,151,-0.10335206051617353,0.06157568056677825
34380,4270,65,31,173,103,27,0.0927510698353074,0.01842431943322176
24586,178009,3,13,80,64,167,0.0,0.0
12835,157189,92,37,248,166,0,0.0,0.0
31501,1391,49,72,80,91,45,0.0,-0.06647615158762404
32197,2087,58,60,83,90,99,-0.015067403328270003,0.03014605954138166
23368,103733,51,36,154,109,81,0.0,0.0
2086,566232,36,56,84,95,139,0.0,0.0
34823,4713,61,48,78,98,8,-0.07313727383716523,-0.05474926718086332
26565,208175,8,63,63,70,197,0.0,0.0
11844,126168,77,36,232,147,0,0.0,0.0
23009,368194,29,30,117,93,144,0.0,0.0
19186,93191,43,43,119,94,121,0.0,0.0
7931,33697,40,81,51,119,72,0.0,0.0
32459,2349,47,11,132,89,83,0.1308992675592447,0.0214106195359553
31323,1213,52,77,84,62,99,0.0467521999912377,0.0
