X,Y,B,G,R,Gx,Gy
57,33,125,83,102,0.10335206051617353,0.061575680566778264
57,34,113,81,112,0.07313727383716523,0.05474926718086332
57,35,103,77,118,0.05077710678338576,0.05077710678338576
57,36,96,78,119,0.032252644421814865,0.048418578457614166
57,37,88,75,118,0.015699044804238282,0.04715256350368319
57,38,75,77,123,0.0,0.0467521999912377
57,39,66,77,121,-0.015699044804238282,0.04715256350368319
57,40,52,76,119,-0.032252644421814865,0.048418578457614166
57,41,49,78,118,-0.05077710678338576,0.05077710678338576
57,42,46,82,117,-0.07313727383716523,0.05474926718086332
57,43,44,83,116,-0.10335206051617353,0.061575680566778264
58,32,146,92,74,0.13826517935484947,0.04511221032887475
58,33,138,89,80,0.09632405027258556,0.03826297667586875
58,34,127,88,89,0.06920142621660752,0.03451121964800863
58,35,119,87,91,0.048418578457614166,0.032252644421814865
58,36,104,86,99,0.03088667636830605,0.03088667636830605
58,37,98,85,101,0.015067403328270003,0.03014605954138166
58,38,83,83,105,0.0,0.029910794252010212
58,39,73,82,105,-0.015067403328270003,0.03014605954138166
58,40,58,82,104,-0.03088667636830605,0.03088667636830605
58,41,52,83,102,-0.048418578457614166,0.032252644421814865
58,42,45,84,99,-0.06920142621660752,0.03451121964800863
58,43,44,88,99,-0.09632405027258556,0.03826297667586875
58,44,42,91,91,-0.13826517935484947,0.04511221032887475
59,32,151,94,70,0.1308992675592447,0.0214106195359553
59,33,143,92,75,0.0927510698353074,0.01842431943322176
59,34,131,89,80,0.06712694158311132,0.016733781794646463
59,35,125,89,82,0.04715256350368319,0.015699044804238282
59,36,110,89,89,0.03014605954138166,0.015067403328270003
59,37,102,88,93,0.014723162687942437,0.014723162687942437
59,38,89,86,98,0.0,0.014613556019536122
59,39,81,85,101,-0.014723162687942437,0.014723162687942437
59,40,65,84,100,-0.03014605954138166,0.015067403328270003
59,41,54,84,99,-0.04715256350368319,0.015699044804238282
59,42,47,85,94,-0.06712694158311132,0.016733781794646463
59,43,42,88,93,-0.0927510698353074,0.01842431943322176
59,44,40,90,88,-0.1308992675592447,0.0214106195359553
60,32,161,97,48,0.1287068006749893,0.0
60,33,154,95,53,0.09164721253127672,0.0
60,34,140,93,57,0.06647615158762404,0.0
60,35,135,93,62,0.0467521999912377,0.0
60,36,123,94,69,0.029910794252010212,0.0
60,37,114,93,73,0.014613556019536122,0.0
60,39,91,91,77,-0.014613556019536122,0.0
60,40,74,90,79,-0.029910794252010212,0.0
60,41,66,90,77,-0.0467521999912377,0.0
60,42,52,89,75,-0.06647615158762404,0.0
60,43,44,89,72,-0.09164721253127672,0.0
60,44,45,94,71,-0.1287068006749893,0.0
61,32,160,94,33,0.1308992675592447,-0.0214106195359553
61,33,153,93,39,0.0927510698353074,-0.01842431943322176
61,34,143,94,48,0.06712694158311132,-0.016733781794646463
61,35,137,93,52,0.04715256350368319,-0.015699044804238282
61,36,124,94,57,0.03014605954138166,-0.015067403328270003
61,37,117,92,61,0.014723162687942437,-0.014723162687942437
61,38,102,92,65,0.0,-0.014613556019536122
61,39,93,91,67,-0.014723162687942437,-0.014723162687942437
61,40,78,91,70,-0.03014605954138166,-0.015067403328270003
61,41,69,90,67,-0.04715256350368319,-0.015699044804238282
61,42,52,87,64,-0.06712694158311132,-0.016733781794646463
61,43,45,87,62,-0.0927510698353074,-0.01842431943322176
61,44,41,90,61,-0.1308992675592447,-0.0214106195359553
62,32,170,97,2,0.13826517935484947,-0.04511221032887475
62,33,163,95,3,0.09632405027258556,-0.03826297667586875
62,34,150,95,8,0.06920142621660752,-0.03451121964800863
62,35,144,93,10,0.048418578457614166,-0.032252644421814865
62,36,134,95,20,0.03088667636830605,-0.03088667636830605
62,37,127,96,26,0.015067403328270003,-0.03014605954138166
62,38,113,94,29,0.0,-0.029910794252010212
62,39,106,94,33,-0.015067403328270003,-0.03014605954138166
62,40,89,93,35,-0.03088667636830605,-0.03088667636830605
62,41,81,93,33,-0.048418578457614166,-0.032252644421814865
62,42,66,92,34,-0.06920142621660752,-0.03451121964800863
62,43,56,90,31,-0.09632405027258556,-0.03826297667586875
62,44,44,90,27,-0.13826517935484947,-0.04511221032887475
63,33,166,99,0,0.10335206051617353,-0.061575680566778264
63,34,153,96,2,0.07313727383716523,-0.05474926718086332
63,35,144,93,2,0.05077710678338576,-0.05077710678338576
63,36,131,91,7,0.032252644421814865,-0.048418578457614166
63,37,124,91,11,0.015699044804238282,-0.04715256350368319
63,38,111,92,15,0.0,-0.0467521999912377
63,39,104,91,17,-0.015699044804238282,-0.04715256350368319
63,40,87,90,19,-0.032252644421814865,-0.048418578457614166
63,41,79,89,19,-0.05077710678338576,-0.05077710678338576
63,42,62,87,18,-0.07313727383716523,-0.05474926718086332
63,43,52,85,15,-0.10335206051617353,-0.061575680566778264
64,34,166,102,0,0.08000000000000003,-0.08000000000000003
64,35,160,100,0,0.05474926718086332,-0.07313727383716523
64,36,149,100,0,0.03451121964800863,-0.06920142621660752
64,37,141,98,0,0.016733781794646463,-0.06712694158311132
64,38,126,97,0,0.0,-0.06647615158762404
64,39,120,97,0,-0.016733781794646463,-0.06712694158311132
64,40,104,96,0,-0.03451121964800863,-0.06920142621660752
64,41,95,95,0,-0.05474926718086332,-0.07313727383716523
64,42,81,96,0,-0.08000000000000003,-0.08000000000000003
65,35,165,105,0,0.061575680566778264,-0.10335206051617353
65,36,151,105,0,0.03826297667586875,-0.09632405027258556
65,37,143,103,0,0.01842431943322176,-0.0927510698353074
65,38,130,101,0,0.0,-0.09164721253127672
65,39,124,100,0,-0.01842431943322176,-0.0927510698353074
65,40,109,100,0,-0.03826297667586875,-0.09632405027258556
65,41,102,99,0,-0.061575680566778264,-0.10335206051617353
66,36,163,110,0,0.04511221032887475,-0.13826517935484947
66,37,157,109,0,0.0214106195359553,-0.1308992675592447
66,38,146,107,0,0.0,-0.1287068006749893
66,39,140,106,0,-0.0214106195359553,-0.1308992675592447
66,40,124,103,0,-0.04511221032887475,-0.13826517935484947
83,57,86,92,48,0.04511221032887475,0.13826517935484947
83,58,74,98,47,0.0214106195359553,0.1308992675592447
83,59,67,104,44,0.0,0.1287068006749893
83,60,53,108,38,-0.0214106195359553,0.1308992675592447
83,61,46,110,33,-0.04511221032887475,0.13826517935484947
84,56,101,99,40,0.061575680566778264,0.10335206051617353
84,57,95,102,39,0.03826297667586875,0.09632405027258556
84,58,81,106,39,0.01842431943322176,0.0927510698353074
84,59,71,108,38,0.0,0.09164721253127672
84,60,55,111,34,-0.01842431943322176,0.0927510698353074
84,61,47,112,28,-0.03826297667586875,0.09632405027258556
84,62,37,117,20,-0.061575680566778264,0.10335206051617353
85,55,121,100,30,0.08000000000000003,0.08000000000000003
85,56,104,100,32,0.05474926718086332,0.07313727383716523
85,57,99,104,32,0.03451121964800863,0.06920142621660752
85,58,82,106,28,0.016733781794646463,0.06712694158311132
85,59,73,109,29,0.0,0.06647615158762404
85,60,56,111,27,-0.016733781794646463,0.06712694158311132
85,61,47,112,20,-0.03451121964800863,0.06920142621660752
85,62,35,117,12,-0.05474926718086332,0.07313727383716523
85,63,27,119,4,-0.08000000000000003,0.08000000000000003
86,54,133,100,20,0.10335206051617353,0.061575680566778264
86,55,125,101,21,0.07313727383716523,0.05474926718086332
86,56,107,102,24,0.05077710678338576,0.05077710678338576
86,57,101,104,22,0.032252644421814865,0.048418578457614166
86,58,84,107,19,0.015699044804238282,0.04715256350368319
86,59,76,110,18,0.0,0.0467521999912377
86,60,59,112,15,-0.015699044804238282,0.04715256350368319
86,61,49,113,11,-0.032252644421814865,0.048418578457614166
86,62,34,116,3,-0.05077710678338576,0.05077710678338576
86,63,26,120,0,-0.07313727383716523,0.05474926718086332
86,64,14,127,0,-0.10335206051617353,0.061575680566778264
87,53,152,100,4,0.13826517935484947,0.04511221032887475
87,54,134,99,7,0.09632405027258556,0.03826297667586875
87,55,127,101,8,0.06920142621660752,0.03451121964800863
87,56,110,101,11,0.048418578457614166,0.032252644421814865
87,57,105,105,11,0.03088667636830605,0.03088667636830605
87,58,87,107,8,0.015067403328270003,0.03014605954138166
87,59,80,111,8,0.0,0.029910794252010212
87,60,62,112,6,-0.015067403328270003,0.03014605954138166
87,61,51,113,2,-0.03088667636830605,0.03088667636830605
87,62,36,116,0,-0.048418578457614166,0.032252644421814865
87,63,25,121,0,-0.06920142621660752,0.03451121964800863
87,64,15,130,0,-0.09632405027258556,0.03826297667586875
87,65,16,136,0,-0.13826517935484947,0.04511221032887475
88,53,156,99,0,0.1308992675592447,0.0214106195359553
88,54,139,100,0,0.0927510698353074,0.01842431943322176
88,55,132,102,0,0.06712694158311132,0.016733781794646463
88,56,115,102,0,0.04715256350368319,0.015699044804238282
88,57,109,104,0,0.03014605954138166,0.015067403328270003
88,58,90,107,0,0.014723162687942437,0.014723162687942437
88,59,82,109,0,0.0,0.014613556019536122
88,60,65,112,0,-0.014723162687942437,0.014723162687942437
88,61,56,115,0,-0.03014605954138166,0.015067403328270003
88,62,37,117,0,-0.04715256350368319,0.015699044804238282
88,63,28,123,0,-0.06712694158311132,0.016733781794646463
88,64,16,133,0,-0.0927510698353074,0.01842431943322176
88,65,17,139,0,-0.1308992675592447,0.0214106195359553
89,53,157,101,0,0.1287068006749893,0.0
89,54,140,100,0,0.09164721253127672,0.0
89,55,133,101,0,0.06647615158762404,0.0
89,56,116,103,0,0.0467521999912377,0.0
89,57,108,103,0,0.029910794252010212,0.0
89,58,93,107,0,0.014613556019536122,0.0
89,60,69,115,0,-0.014613556019536122,0.0
89,61,58,117,0,-0.029910794252010212,0.0
89,62,42,122,0,-0.0467521999912377,0.0
89,63,30,127,0,-0.06647615158762404,0.0
89,64,14,133,0,-0.09164721253127672,0.0
89,65,16,141,0,-0.1287068006749893,0.0
90,53,161,104,0,0.1308992675592447,-0.0214106195359553
90,54,144,103,0,0.0927510698353074,-0.01842431943322176
90,55,136,103,0,0.06712694158311132,-0.016733781794646463
90,56,121,105,0,0.04715256350368319,-0.015699044804238282
90,57,114,107,0,0.03014605954138166,-0.015067403328270003
90,58,99,110,0,0.014723162687942437,-0.014723162687942437
90,59,89,112,0,0.0,-0.014613556019536122
90,60,72,118,0,-0.014723162687942437,-0.014723162687942437
90,61,60,119,0,-0.03014605954138166,-0.015067403328270003
90,62,43,124,0,-0.04715256350368319,-0.015699044804238282
90,63,28,127,0,-0.06712694158311132,-0.016733781794646463
90,64,14,134,0,-0.0927510698353074,-0.01842431943322176
90,65,17,142,0,-0.1308992675592447,-0.0214106195359553
91,53,165,106,0,0.13826517935484947,-0.04511221032887475
91,54,149,106,0,0.09632405027258556,-0.03826297667586875
91,55,142,107,0,0.06920142621660752,-0.03451121964800863
91,56,126,108,0,0.048418578457614166,-0.032252644421814865
91,57,121,111,0,0.03088667636830605,-0.03088667636830605
91,58,104,113,0,0.015067403328270003,-0.03014605954138166
91,59,94,115,0,0.0,-0.029910794252010212
91,60,76,120,0,-0.015067403328270003,-0.03014605954138166
91,61,65,122,0,-0.03088667636830605,-0.03088667636830605
91,62,46,126,0,-0.048418578457614166,-0.032252644421814865
91,63,33,129,0,-0.06920142621660752,-0.03451121964800863
91,64,18,137,0,-0.09632405027258556,-0.03826297667586875
91,65,18,143,0,-0.13826517935484947,-0.04511221032887475
92,54,153,109,0,0.10335206051617353,-0.061575680566778264
92,55,148,110,0,0.07313727383716523,-0.05474926718086332
92,56,133,112,0,0.05077710678338576,-0.05077710678338576
92,57,125,114,0,0.032252644421814865,-0.048418578457614166
92,58,107,116,0,0.015699044804238282,-0.04715256350368319
92,59,99,120,0,0.0,-0.0467521999912377
92,60,80,122,0,-0.015699044804238282,-0.04715256350368319
92,61,70,125,0,-0.032252644421814865,-0.048418578457614166
92,62,50,128,0,-0.05077710678338576,-0.05077710678338576
92,63,38,132,0,-0.07313727383716523,-0.05474926718086332
92,64,22,138,0,-0.10335206051617353,-0.061575680566778264
93,55,154,112,0,0.08000000000000003,-0.08000000000000003
93,56,138,115,0,0.05474926718086332,-0.07313727383716523
93,57,130,117,0,0.03451121964800863,-0.06920142621660752
93,58,111,119,0,0.016733781794646463,-0.06712694158311132
93,59,104,122,0,0.0,-0.06647615158762404
93,60,88,123,0,-0.016733781794646463,-0.06712694158311132
93,61,79,125,0,-0.03451121964800863,-0.06920142621660752
